DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
130,Heath,2023,22.88,0.00,22.88,22.88,22.88
130,Heath,2024,20.43,0.00,20.43,20.43,20.43
131,Hingham,2023,10.00,0.00,10.00,10.00,10.00
131,Hingham,2024,,,,,
132,Hinsdale,2023,13.49,0.00,13.49,13.49,13.49
132,Hinsdale,2024,10.99,0.00,10.99,10.99,10.99
133,Holbrook,2023,15.38,0.00,30.47,30.47,30.47
133,Holbrook,2024,,,,,
134,Holden,2023,14.99,0.00,14.99,14.99,14.99
134,Holden,2024,14.15,0.00,14.15,14.15,14.15
135,Holland,2023,13.09,0.00,13.09,13.09,13.09
135,Holland,2024,13.55,0.00,13.55,13.55,13.55
136,Holliston,2023,15.40,0.00,15.40,15.40,15.40
136,Holliston,2024,15.06,0.00,15.06,15.06,15.06
137,Holyoke,2023,18.76,0.00,40.17,40.17,40.17
137,Holyoke,2024,,,,,
138,Hopedale,2023,16.15,0.00,26.17,26.17,26.17
138,Hopedale,2024,16.60,0.00,29.04,29.04,29.04
139,Hopkinton,2023,15.81,0.00,15.80,15.80,15.80
139,Hopkinton,2024,14.61,0.00,14.60,14.60,14.60
140,Hubbardston,2023,13.03,0.00,13.03,13.03,13.03
140,Hubbardston,2024,11.79,0.00,11.79,11.79,11.79
141,Hudson,2023,14.60,0.00,28.88,28.88,28.88
141,Hudson,2024,,,,,
142,Hull,2023,12.17,0.00,12.17,12.17,12.17
142,Hull,2024,11.65,0.00,11.65,11.65,11.65
143,Huntington,2023,17.05,0.00,17.05,17.05,17.05
143,Huntington,2024,,,,,
144,Ipswich,2023,12.23,0.00,12.23,12.23,12.23
144,Ipswich,2024,11.38,0.00,11.38,11.38,11.38
145,Kingston,2023,13.36,0.00,13.36,13.36,13.36
145,Kingston,2024,12.71,0.00,12.71,12.71,12.71
146,Lakeville,2023,11.15,0.00,11.15,11.15,11.15
146,Lakeville,2024,,,,,
147,Lancaster,2023,17.19,0.00,17.19,17.19,17.19
147,Lancaster,2024,,,,,
148,Lanesborough,2023,17.67,0.00,17.67,17.67,17.67
148,Lanesborough,2024,17.01,0.00,17.01,17.01,17.01
149,Lawrence,2023,10.16,0.00,21.14,21.14,21.14
149,Lawrence,2024,9.25,0.00,19.37,19.37,19.37
150,Lee,2023,11.83,0.00,11.83,11.83,11.83
150,Lee,2024,11.24,0.00,11.24,11.24,11.24
151,Leicester,2023,12.86,0.00,12.86,12.86,12.86
151,Leicester,2024,12.55,0.00,12.55,12.55,12.55
152,Lenox,2023,9.16,0.00,13.03,13.03,13.03
152,Lenox,2024,9.07,0.00,12.85,12.85,12.85
153,Leominster,2023,15.54,15.54,15.54,15.54,15.54
153,Leominster,2024,,,,,
154,Leverett,2023,16.02,0.00,16.02,16.02,16.02
154,Leverett,2024,15.72,0.00,15.72,15.72,15.72
155,Lexington,2023,13.00,0.00,25.72,25.72,25.72
155,Lexington,2024,,,,,
156,Leyden,2023,15.18,0.00,15.18,15.18,15.18
156,Leyden,2024,14.94,0.00,14.94,14.94,14.94
157,Lincoln,2023,13.92,0.00,20.43,20.43,20.43
157,Lincoln,2024,12.89,0.00,19.70,19.70,19.70
158,Littleton,2023,16.25,0.00,25.37,25.37,25.37
158,Littleton,2024,14.84,0.00,23.11,23.11,23.11
159,Longmeadow,2023,22.92,0.00,22.92,22.92,22.92
159,Longmeadow,2024,,,,,
160,Lowell,2023,12.42,0.00,24.36,24.36,24.36
160,Lowell,2024,,,,,
161,Ludlow,2023,19.51,0.00,19.51,19.51,19.51
161,Ludlow,2024,18.09,0.00,18.09,18.09,18.09
162,Lunenburg,2023,14.62,0.00,14.62,14.62,14.62
162,Lunenburg,2024,,,,,
163,Lynn,2023,11.15,0.00,21.35,21.35,21.35
163,Lynn,2024,,,,,
164,Lynnfield,2023,11.30,0.00,18.15,18.15,18.15
164,Lynnfield,2024,10.51,0.00,17.99,17.99,17.99
165,Malden,2023,12.19,0.00,18.68,18.68,18.68
165,Malden,2024,11.69,0.00,18.20,18.20,18.20
166,Manchester By The Sea,2023,10.43,0.00,10.43,10.43,10.43
166,Manchester By The Sea,2024,9.35,0.00,9.35,9.35,9.35
167,Mansfield,2023,14.09,0.00,18.52,18.52,18.52
167,Mansfield,2024,13.50,0.00,19.07,19.07,19.07
168,Marblehead,2023,10.00,0.00,10.00,10.00,10.00
168,Marblehead,2024,8.96,0.00,8.96,8.96,8.96
169,Marion,2023,9.44,0.00,9.44,9.44,9.44
169,Marion,2024,9.26,0.00,9.26,9.26,9.26
170,Marlborough,2023,11.54,0.00,20.32,20.32,20.32
170,Marlborough,2024,10.24,0.00,17.66,17.66,17.66
171,Marshfield,2023,11.32,0.00,11.32,11.32,11.32
171,Marshfield,2024,10.39,0.00,10.39,10.39,10.39
172,Mashpee,2023,7.01,6.94,6.94,6.94,6.94
172,Mashpee,2024,6.28,6.21,6.21,6.21,6.21
173,Mattapoisett,2023,11.25,0.00,11.25,11.25,11.25
173,Mattapoisett,2024,,,,,
174,Maynard,2023,18.97,0.00,25.24,25.24,25.24
174,Maynard,2024,17.88,0.00,23.81,23.81,23.81
175,Medfield,2023,15.43,0.00,15.43,15.43,15.43
175,Medfield,2024,14.64,0.00,14.64,14.64,14.64
176,Medford,2023,8.65,0.00,16.56,16.56,16.56
176,Medford,2024,8.52,0.00,16.41,16.41,16.41
177,Medway,2023,15.94,0.00,15.94,15.94,15.94
177,Medway,2024,14.40,0.00,14.40,14.40,14.40
178,Melrose,2023,10.42,0.00,18.12,18.12,18.12
178,Melrose,2024,9.93,0.00,17.71,17.71,17.71
179,Mendon,2023,14.60,0.00,14.60,14.60,14.60
179,Mendon,2024,13.71,0.00,13.69,13.69,13.69
180,Merrimac,2023,14.77,0.00,14.77,14.77,14.77
180,Merrimac,2024,13.50,0.00,13.50,13.50,13.50
181,Methuen,2023,11.70,0.00,22.78,22.78,22.78
181,Methuen,2024,,,,,
182,Middleborough,2023,14.24,0.00,15.10,15.10,15.10
182,Middleborough,2024,13.54,0.00,14.35,14.35,14.35
183,Middlefield,2023,16.55,0.00,16.55,16.55,16.55
183,Middlefield,2024,19.84,0.00,19.84,19.84,19.84
184,Middleton,2023,12.87,0.00,12.87,12.87,12.87
184,Middleton,2024,11.79,0.00,11.79,11.79,11.79
185,Milford,2023,14.45,0.00,26.45,26.45,26.45
185,Milford,2024,13.29,0.00,24.09,24.09,24.09
186,Millbury,2023,14.45,0.00,14.45,14.45,14.45
186,Millbury,2024,13.23,0.00,13.23,13.23,13.23
187,Millis,2023,17.49,0.00,17.49,17.49,17.49
187,Millis,2024,16.42,0.00,16.42,16.42,16.42
188,Millville,2023,13.89,0.00,13.89,13.89,13.89
188,Millville,2024,13.22,0.00,13.22,13.22,13.22
189,Milton,2023,11.40,0.00,18.22,18.22,18.22
189,Milton,2024,,,,,
190,Monroe,2023,11.51,0.00,24.61,24.61,24.61
190,Monroe,2024,,,,,
191,Monson,2023,15.86,0.00,15.86,15.86,15.86
191,Monson,2024,15.50,0.00,15.50,15.50,15.50
192,Montague,2023,15.65,0.00,23.78,23.78,23.78
192,Montague,2024,15.70,0.00,24.01,24.01,24.01
193,Monterey,2023,6.09,0.00,6.09,6.09,6.09
193,Monterey,2024,6.13,0.00,6.13,6.13,6.13
194,Montgomery,2023,14.85,0.00,14.85,14.85,14.85
194,Montgomery,2024,,,,,
195,Mount Washington,2023,5.57,0.00,5.57,5.57,5.57
195,Mount Washington,2024,6.32,0.00,6.32,6.32,6.32
196,Nahant,2023,9.09,0.00,9.09,9.09,9.09
196,Nahant,2024,9.07,0.00,9.07,9.07,9.07
197,Nantucket,2023,3.21,3.05,5.46,5.46,5.46
197,Nantucket,2024,,,,,
198,Natick,2023,12.64,0.00,12.64,12.64,12.64
198,Natick,2024,12.26,0.00,12.26,12.26,12.26
199,Needham,2023,13.04,0.00,25.56,25.56,25.56
199,Needham,2024,12.52,0.00,24.57,24.57,24.57
200,New Ashford,2023,9.44,0.00,9.44,9.44,9.44
200,New Ashford,2024,8.48,0.00,8.48,8.48,8.48
201,New Bedford,2023,14.29,0.00,29.88,29.88,29.88
201,New Bedford,2024,,,,,
202,New Braintree,2023,14.68,0.00,14.68,14.68,14.68
202,New Braintree,2024,14.54,0.00,14.54,14.54,14.54
203,New Marlborough,2023,8.37,0.00,8.37,8.37,8.37
203,New Marlborough,2024,,,,,
204,New Salem,2023,15.35,0.00,15.35,15.35,15.35
204,New Salem,2024,,,,,
205,Newbury,2023,8.67,0.00,8.67,8.67,8.67
205,Newbury,2024,7.68,0.00,7.68,7.68,7.68
206,Newburyport,2023,10.74,10.74,10.74,10.74,10.74
206,Newburyport,2024,9.97,9.97,9.97,9.97,9.97
207,Newton,2023,10.18,0.00,19.07,19.07,19.07
207,Newton,2024,9.76,0.00,18.33,18.33,18.33
208,Norfolk,2023,16.41,16.41,16.41,16.41,16.41
208,Norfolk,2024,15.57,15.57,15.57,15.57,15.57
209,North Adams,2023,17.67,0.00,37.60,37.60,37.60
209,North Adams,2024,17.14,0.00,36.34,36.34,36.34
210,North Andover,2023,12.24,0.00,17.25,17.25,17.25
210,North Andover,2024,11.09,0.00,15.60,15.60,15.60
211,North Attleborough,2023,12.79,0.00,15.48,15.48,15.44
211,North Attleborough,2024,11.54,0.00,15.52,15.52,15.48
212,North Brookfield,2023,13.36,0.00,13.36,13.36,13.36
212,North Brookfield,2024,,,,,
213,North Reading,2023,13.99,0.00,13.99,13.99,13.99
213,North Reading,2024,13.21,0.00,13.21,13.21,13.21
214,Northampton,2023,15.84,0.00,15.84,15.84,15.84
214,Northampton,2024,15.19,0.00,15.19,15.19,15.19
215,Northborough,2023,14.79,0.00,14.79,14.79,14.79
215,Northborough,2024,14.28,0.00,14.28,14.28,14.28
216,Northbridge,2023,12.96,0.00,12.96,12.96,12.96
216,Northbridge,2024,12.09,0.00,12.09,12.09,12.09
217,Northfield,2023,13.58,0.00,13.58,13.58,13.58
217,Northfield,2024,13.58,0.00,13.58,13.58,13.58
218,Norton,2023,12.99,0.00,13.80,13.80,13.80
218,Norton,2024,12.95,0.00,13.84,13.84,13.84
219,Norwell,2023,15.29,0.00,15.29,15.29,15.29
219,Norwell,2024,,,,,
220,Norwood,2023,10.32,0.00,23.07,23.07,23.07
220,Norwood,2024,,,,,
221,Oak Bluffs,2023,5.28,0.00,5.21,5.21,5.21
221,Oak Bluffs,2024,5.23,0.00,5.10,5.10,5.10
222,Oakham,2023,11.57,0.00,11.57,11.57,11.57
222,Oakham,2024,,,,,
223,Orange,2023,17.96,0.00,17.96,17.96,17.96
223,Orange,2024,17.44,0.00,17.44,17.44,17.44
224,Orleans,2023,6.23,0.00,6.23,6.23,6.23
224,Orleans,2024,6.41,0.00,6.41,6.41,6.41
225,Otis,2023,6.62,0.00,6.62,6.62,6.62
225,Otis,2024,,,,,
226,Oxford,2023,13.64,0.00,13.64,13.64,13.64
226,Oxford,2024,13.48,0.00,13.48,13.48,13.48
227,Palmer,2023,17.93,0.00,17.93,17.93,17.93
227,Palmer,2024,17.15,0.00,17.15,17.15,17.15
228,Paxton,2023,17.58,0.00,17.58,17.58,17.58
228,Paxton,2024,16.07,0.00,16.07,16.07,16.07
229,Peabody,2023,9.52,0.00,19.67,19.67,19.67
229,Peabody,2024,,,,,
230,Pelham,2023,17.86,0.00,17.86,17.86,17.86
230,Pelham,2024,17.52,0.00,17.52,17.52,17.52
231,Pembroke,2023,12.72,0.00,12.72,12.72,12.72
231,Pembroke,2024,12.03,0.00,12.03,12.03,12.03
232,Pepperell,2023,15.14,0.00,15.14,15.14,15.14
232,Pepperell,2024,14.35,0.00,14.35,14.35,14.35
233,Peru,2023,17.50,0.00,17.50,17.50,17.50
233,Peru,2024,,,,,
234,Petersham,2023,15.79,0.00,15.79,15.79,15.79
234,Petersham,2024,14.30,0.00,14.30,14.30,14.30
235,Phillipston,2023,12.84,0.00,12.84,12.84,12.84
235,Phillipston,2024,11.98,0.00,11.98,11.98,11.98
236,Pittsfield,2023,18.32,0.00,39.21,39.21,39.21
236,Pittsfield,2024,,,,,
237,Plainfield,2023,20.72,0.00,20.72,20.72,20.72
237,Plainfield,2024,,,,,
238,Plainville,2023,12.48,0.00,18.33,18.33,18.33
238,Plainville,2024,12.00,0.00,18.79,18.79,18.79
239,Plymouth,2023,13.71,0.00,13.71,13.71,13.71
239,Plymouth,2024,12.87,0.00,12.87,12.87,12.87
240,Plympton,2023,15.05,0.00,15.05,15.05,15.05
240,Plympton,2024,15.71,0.00,15.71,15.71,15.71
241,Princeton,2023,15.14,0.00,15.14,15.14,15.14
241,Princeton,2024,14.03,0.00,14.03,14.03,14.03
242,Provincetown,2023,5.98,0.00,5.70,5.70,5.70
242,Provincetown,2024,5.58,0.00,5.21,5.21,5.21
243,Quincy,2023,11.13,0.00,22.18,22.18,22.18
243,Quincy,2024,,,,,
244,Randolph,2023,12.08,0.00,23.36,23.36,23.36
244,Randolph,2024,11.45,0.00,22.17,22.17,22.17
245,Raynham,2023,13.60,0.00,18.53,18.53,18.53
245,Raynham,2024,,,,,
246,Reading,2023,12.59,0.00,13.21,13.21,13.21
246,Reading,2024,11.72,0.00,12.92,12.92,12.92
247,Rehoboth,2023,11.58,0.00,11.58,11.58,11.58
247,Rehoboth,2024,11.36,0.00,11.36,11.36,11.36
248,Revere,2023,9.51,0.00,18.98,18.98,18.98
248,Revere,2024,,,,,
