DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
303,Upton,2023,13.87,0.00,13.87,13.87,13.87
303,Upton,2024,13.68,0.00,13.68,13.68,13.68
304,Uxbridge,2023,13.95,0.00,13.95,13.95,13.95
304,Uxbridge,2024,12.92,0.00,13.09,13.09,13.09
305,Wakefield,2023,11.73,0.00,22.46,22.46,22.46
305,Wakefield,2024,11.25,0.00,21.70,21.70,21.70
306,Wales,2023,17.06,0.00,17.06,17.06,17.06
306,Wales,2024,14.77,0.00,14.77,14.77,14.77
307,Walpole,2023,13.89,0.00,18.42,18.42,18.42
307,Walpole,2024,13.22,0.00,17.90,17.90,17.90
308,Waltham,2023,10.32,0.00,21.95,21.95,21.95
308,Waltham,2024,9.64,0.00,20.71,20.71,20.71
309,Ware,2023,17.26,0.00,17.26,17.26,17.26
309,Ware,2024,16.33,0.00,16.33,16.33,16.33
310,Wareham,2023,9.92,0.00,9.92,9.92,9.92
310,Wareham,2024,9.23,0.00,9.23,9.23,9.23
311,Warren,2023,15.80,0.00,15.80,15.80,15.80
311,Warren,2024,15.07,0.00,15.07,15.07,15.07
312,Warwick,2023,20.11,0.00,20.11,20.11,20.11
312,Warwick,2024,16.55,0.00,16.55,16.55,16.55
313,Washington,2023,15.21,0.00,15.21,15.21,15.21
313,Washington,2024,15.31,0.00,15.31,15.31,15.31
314,Watertown,2023,13.58,0.00,19.73,19.73,19.73
314,Watertown,2024,11.70,0.00,23.08,23.08,23.08
315,Wayland,2023,16.65,0.00,16.65,16.65,16.65
315,Wayland,2024,,,,,
316,Webster,2023,12.50,0.00,12.50,12.50,12.50
316,Webster,2024,12.18,0.00,12.18,12.18,12.18
317,Wellesley,2023,11.45,0.00,11.45,11.45,11.45
317,Wellesley,2024,,,,,
318,Wellfleet,2023,6.96,0.00,6.65,6.65,6.65
318,Wellfleet,2024,6.83,0.00,6.43,6.43,6.43
319,Wendell,2023,21.41,0.00,21.41,21.41,21.41
319,Wendell,2024,,,,,
320,Wenham,2023,17.35,0.00,17.35,17.35,17.35
320,Wenham,2024,,,,,
321,West Boylston,2023,15.58,0.00,15.58,15.58,15.58
321,West Boylston,2024,14.78,0.00,14.78,14.78,14.78
322,West Bridgewater,2023,15.37,0.00,27.69,27.69,27.69
322,West Bridgewater,2024,14.17,0.00,25.36,25.36,25.36
323,West Brookfield,2023,11.99,0.00,11.99,11.99,11.99
323,West Brookfield,2024,11.23,0.00,11.23,11.23,11.23
324,West Newbury,2023,11.03,0.00,11.03,11.03,11.03
324,West Newbury,2024,10.82,0.00,10.82,10.82,10.82
325,West Springfield,2023,15.54,0.00,30.58,30.58,30.58
325,West Springfield,2024,14.81,0.00,29.80,29.80,29.80
326,West Stockbridge,2023,10.31,0.00,10.31,10.31,10.31
326,West Stockbridge,2024,9.58,0.00,9.58,9.58,9.58
327,West Tisbury,2023,4.36,0.00,4.36,4.36,4.36
327,West Tisbury,2024,4.30,0.00,4.30,4.30,4.30
328,Westborough,2023,16.84,0.00,16.84,16.84,16.84
328,Westborough,2024,16.41,0.00,16.41,16.41,16.41
329,Westfield,2023,16.98,0.00,33.52,33.52,33.52
329,Westfield,2024,15.97,0.00,31.39,31.39,31.39
330,Westford,2023,14.76,0.00,14.76,14.76,14.76
330,Westford,2024,13.77,0.00,13.77,13.77,13.77
331,Westhampton,2023,20.13,0.00,20.13,20.13,20.13
331,Westhampton,2024,20.69,0.00,20.69,20.69,20.69
332,Westminster,2023,13.06,0.00,13.06,13.06,13.06
332,Westminster,2024,12.26,0.00,12.26,12.26,12.26
333,Weston,2023,11.84,0.00,11.84,11.84,11.84
333,Weston,2024,11.12,0.00,11.12,11.12,11.12
334,Westport,2023,8.16,0.00,8.16,8.16,8.16
334,Westport,2024,7.73,0.00,7.73,7.73,7.73
335,Westwood,2023,14.30,0.00,27.63,27.63,27.63
335,Westwood,2024,12.81,0.00,24.68,24.68,24.68
336,Weymouth,2023,10.45,0.00,16.50,16.50,16.50
336,Weymouth,2024,10.27,0.00,16.27,16.27,16.27
337,Whately,2023,14.20,14.20,14.20,14.20,14.20
337,Whately,2024,,,,,
338,Whitman,2023,13.57,0.00,13.57,13.57,13.57
338,Whitman,2024,12.74,0.00,12.74,12.74,12.74
339,Wilbraham,2023,18.70,0.00,18.70,18.70,18.70
339,Wilbraham,2024,18.50,0.00,18.50,18.50,18.50
340,Williamsburg,2023,19.64,0.00,19.64,19.64,19.64
340,Williamsburg,2024,,,,,
341,Williamstown,2023,16.17,0.00,16.17,16.17,16.17
341,Williamstown,2024,15.15,0.00,15.15,15.15,15.15
342,Wilmington,2023,11.94,0.00,27.34,27.34,27.34
342,Wilmington,2024,11.43,0.00,26.23,26.23,26.23
343,Winchendon,2023,13.40,0.00,13.40,13.40,13.40
343,Winchendon,2024,,,,,
344,Winchester,2023,11.80,0.00,11.24,11.24,11.24
344,Winchester,2024,11.33,0.00,10.81,10.81,10.81
345,Windsor,2023,13.11,0.00,13.11,13.11,13.11
345,Windsor,2024,11.54,0.00,11.54,11.54,11.54
346,Winthrop,2023,10.70,10.70,10.70,10.70,10.70
346,Winthrop,2024,10.42,10.42,10.42,10.42,10.42
347,Woburn,2023,8.70,0.00,21.14,21.14,21.14
347,Woburn,2024,8.06,0.00,19.72,19.72,19.72
348,Worcester,2023,14.34,0.00,31.26,31.26,31.26
348,Worcester,2024,,,,,
349,Worthington,2023,14.91,0.00,14.91,14.91,14.91
349,Worthington,2024,14.45,0.00,14.45,14.45,14.45
350,Wrentham,2023,12.62,0.00,16.84,16.84,16.81
350,Wrentham,2024,12.00,0.00,17.37,17.37,17.34
351,Yarmouth,2023,8.11,0.00,8.11,8.11,8.11
351,Yarmouth,2024,7.38,0.00,7.38,7.38,7.38
840,Devens,2023,13.58,0.00,18.20,18.20,0.00
840,Devens,2024,,,,,
